,id,budget,revenue
0,19995,237000000,2.788e+09
1,285,300000000,9.610e+08
2,206647,245000000,8.807e+08
3,49026,250000000,1.085e+09
4,49529,260000000,2.841e+08
5,559,258000000,8.909e+08
6,38757,260000000,5.918e+08
7,99861,280000000,1.405e+09
8,767,250000000,9.340e+08
9,209112,250000000,8.733e+08
10,1452,270000000,3.911e+08
11,10764,200000000,5.861e+08
12,58,200000000,1.066e+09
13,57201,255000000,8.929e+07
14,49521,225000000,6.628e+08
15,2454,225000000,4.197e+08
16,24428,220000000,1.520e+09
17,1865,380000000,1.046e+09
18,41154,225000000,6.240e+08
19,122917,250000000,9.560e+08
20,1930,215000000,7.522e+08
21,20662,200000000,3.107e+08
22,57158,250000000,9.584e+08
23,2268,180000000,3.722e+08
24,254,207000000,5.500e+08
25,597,200000000,1.845e+09
26,271110,250000000,1.153e+09
27,44833,209000000,3.030e+08
28,135397,150000000,1.514e+09
29,37724,200000000,1.109e+09
30,558,200000000,7.838e+08
31,68721,200000000,1.215e+09
32,12155,200000000,1.025e+09
33,36668,210000000,4.594e+08
34,62211,200000000,7.436e+08
35,8373,150000000,8.363e+08
36,91314,210000000,1.091e+09
37,68728,200000000,4.919e+08
38,102382,200000000,7.057e+08
39,20526,170000000,4.001e+08
40,49013,200000000,5.599e+08
41,44912,200000000,2.199e+08
42,10193,200000000,1.067e+09
43,534,200000000,3.714e+08
44,168259,190000000,1.506e+09
45,72190,200000000,5.319e+08
46,127585,250000000,7.479e+08
47,54138,190000000,4.674e+08
48,81005,195000000,1.977e+08
49,64682,105000000,3.510e+08
50,9543,150000000,3.352e+08
51,68726,180000000,4.076e+08
52,38356,195000000,1.124e+09
53,217,185000000,7.866e+08
54,105864,175000000,3.319e+08
55,62177,185000000,5.390e+08
56,188927,185000000,3.435e+08
57,10681,180000000,5.213e+08
58,5174,140000000,2.580e+08
59,14161,200000000,7.697e+08
60,17979,200000000,3.252e+08
61,76757,176000003,1.840e+08
62,258489,180000000,3.567e+08
63,411,180000000,7.488e+08
64,246655,178000000,5.439e+08
65,155,185000000,1.005e+09
66,14160,175000000,7.351e+08
67,15512,175000000,3.815e+08
68,1726,140000000,5.852e+08
69,44826,170000000,1.858e+08
70,8487,170000000,2.221e+08
71,1735,145000000,4.011e+08
72,297761,175000000,7.450e+08
73,2698,175000000,1.730e+08
74,137113,178000000,3.705e+08
75,9804,175000000,2.642e+08
76,14869,175000000,3.025e+08
77,150540,175000000,8.576e+08
78,278927,175000000,9.666e+08
79,10138,200000000,6.239e+08
80,58595,170000000,3.966e+08
81,102651,180000000,7.585e+08
82,119450,170000000,7.106e+08
83,64686,175000000,1.510e+08
84,100402,170000000,7.148e+08
85,10192,165000000,7.526e+08
86,158852,190000000,2.092e+08
87,177572,165000000,6.521e+08
88,82690,165000000,4.712e+08
89,5255,165000000,3.059e+08
90,47933,165000000,3.897e+08
91,10191,165000000,4.949e+08
92,296,200000000,4.350e+08
93,118340,170000000,7.733e+08
94,157336,165000000,6.751e+08
95,27205,160000000,8.255e+08
